127.0.0.1 - - [15/Feb/2025:09:39:54 +0600] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Feb/2025:09:39:54 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [15/Feb/2025:09:39:55 +0600] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Feb/2025:09:40:09 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [15/Feb/2025:09:40:17 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [15/Feb/2025:09:40:17 +0600] "GET /Ebook-App/book/java.jpeg HTTP/1.1" 200 12256
0:0:0:0:0:0:0:1 - - [15/Feb/2025:09:40:17 +0600] "GET /Ebook-App/all_component/style.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [15/Feb/2025:09:40:17 +0600] "GET /Ebook-App/img/book.avif HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [15/Feb/2025:09:40:17 +0600] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Feb/2025:09:42:36 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [15/Feb/2025:09:58:56 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [15/Feb/2025:09:58:58 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:01:23 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:02:14 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:02:21 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:04:19 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:06:03 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:10:21 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5228
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:11:02 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5237
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:13:52 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5274
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:14:43 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5348
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:16:03 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5348
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:23:53 +0600] "GET /Ebook-App/ HTTP/1.1" 200 5527
0:0:0:0:0:0:0:1 - - [15/Feb/2025:10:29:32 +0600] "GET /Ebook-App/? HTTP/1.1" 200 5527
